0_SensorIndex,0_AccelX,0_AccelY,0_AccelZ,0_GyroX,0_GyroY,0_GyroZ,0_MagX,0_MagY,0_MagZ,0_Quat1,0_Quat2,0_Quat3,0_Quat4,0_Sampletime,0_Package,
0,230,146,931,1,-2,0,-803,-172,-484,10606,-623,-2194,-12278,48803,249,
0,232,147,935,7,0,-3,-803,-172,-484,10606,-623,-2194,-12278,48824,250,
0,232,149,933,3,-12,-1,-803,-184,-497,10606,-623,-2194,-12278,48843,251,
0,231,149,933,3,-3,-2,-803,-184,-497,10606,-624,-2195,-12278,48863,252,
0,235,147,932,0,-6,-2,-796,-179,-523,10606,-624,-2195,-12278,48883,253,
0,234,147,932,2,3,-3,-796,-179,-523,10606,-624,-2195,-12278,48903,254,
0,233,148,934,-3,-2,-1,-796,-179,-523,10606,-624,-2195,-12278,48924,255,
0,230,148,936,-4,2,2,-796,-184,-497,10606,-624,-2195,-12278,48943,256,
0,231,144,936,-2,4,2,-796,-184,-497,10606,-624,-2195,-12278,48963,257,
0,229,146,936,2,-4,-1,-796,-184,-484,10606,-624,-2195,-12278,48983,258,
0,231,147,928,-3,-6,0,-796,-184,-484,10606,-624,-2195,-12278,49003,259,
0,234,142,928,4,-7,-2,-796,-184,-484,10606,-624,-2195,-12278,49024,260,
0,235,148,933,9,-3,-1,-809,-179,-484,10606,-623,-2195,-12278,49043,261,
0,237,149,931,-3,-3,1,-809,-179,-484,10606,-623,-2195,-12278,49063,262,
0,238,150,932,2,2,-3,-796,-179,-504,10606,-623,-2195,-12278,49083,263,
0,227,145,932,-7,20,-6,-796,-179,-504,10606,-623,-2194,-12278,49103,264,
0,230,150,933,6,-6,-2,-796,-179,-504,10606,-621,-2193,-12278,49124,265,
0,232,147,933,-3,3,-2,-796,-179,-497,10606,-621,-2193,-12278,49143,266,
0,231,147,934,-1,4,2,-796,-179,-497,10606,-621,-2193,-12278,49163,267,
0,233,146,937,-1,4,-1,-809,-179,-510,10606,-621,-2193,-12278,49183,268,
0,228,146,938,-2,8,-2,-809,-179,-510,10606,-621,-2193,-12278,49203,269,
0,232,145,936,4,-8,-3,-809,-179,-510,10606,-621,-2193,-12278,49224,270,
0,229,148,932,5,-8,1,-792,-179,-497,10606,-621,-2193,-12278,49243,271,
0,232,149,928,12,-6,2,-792,-179,-497,10606,-621,-2193,-12278,49263,272,
0,233,148,929,6,-2,2,-803,-179,-516,10606,-621,-2194,-12278,49283,273,
0,230,147,927,3,-6,3,-803,-179,-516,10606,-621,-2194,-12278,49303,274,
0,237,150,931,-1,-4,1,-803,-179,-516,10606,-621,-2194,-12278,49324,275,
0,237,150,930,-5,-1,0,-803,-172,-497,10606,-621,-2194,-12278,49343,276,
0,239,148,934,-3,3,-3,-803,-172,-497,10606,-621,-2194,-12278,49363,277,
0,235,147,936,-3,5,-4,-809,-184,-523,10606,-621,-2194,-12278,49383,278,
0,231,146,927,2,1,-5,-809,-184,-523,10606,-621,-2194,-12278,49403,279,
0,230,149,937,5,8,-5,-809,-184,-523,10606,-620,-2195,-12278,49424,280,
0,226,145,934,-7,6,-2,-803,-179,-510,10606,-619,-2194,-12278,49443,281,
0,228,147,935,3,7,-1,-803,-179,-510,10606,-619,-2194,-12278,49463,282,
0,228,146,936,-3,3,2,-827,-184,-510,10606,-619,-2194,-12278,49483,283,
0,230,147,933,-1,-6,4,-827,-184,-510,10606,-619,-2194,-12278,49504,284,
0,234,143,932,-3,-5,4,-827,-184,-510,10606,-619,-2194,-12278,49524,285,
0,239,149,936,10,-10,0,-796,-166,-491,10606,-619,-2194,-12278,49544,286,
0,240,144,932,-6,-8,-2,-796,-166,-491,10606,-620,-2196,-12277,49564,287,
0,238,148,932,13,0,-4,-796,-184,-478,10606,-620,-2196,-12277,49583,288,
0,235,147,933,-4,1,-5,-796,-184,-478,10606,-619,-2197,-12277,49604,289,
0,228,149,932,4,4,-6,-796,-184,-478,10606,-619,-2197,-12277,49624,290,
0,228,149,930,3,4,-4,-796,-166,-491,10606,-619,-2197,-12277,49644,291,
0,227,146,929,0,0,-3,-796,-166,-491,10606,-619,-2197,-12277,49663,292,
0,231,148,930,-2,-6,0,-803,-166,-510,10606,-619,-2197,-12277,49684,293,
0,235,145,931,-8,8,3,-803,-166,-510,10606,-619,-2197,-12277,49704,294,
0,235,146,935,0,-1,-1,-803,-166,-510,10606,-619,-2197,-12277,49724,295,
0,237,148,938,-2,10,-3,-796,-172,-504,10606,-619,-2197,-12277,49743,296,
0,229,147,936,3,9,-4,-796,-172,-504,10607,-618,-2195,-12277,49764,297,
0,235,151,936,8,-5,-6,-796,-190,-504,10607,-618,-2195,-12277,49784,298,
0,231,145,930,-6,7,-2,-796,-190,-504,10607,-618,-2195,-12277,49803,299,
0,230,148,929,4,4,-4,-796,-190,-504,10607,-618,-2195,-12277,49824,300,
